,Unnamed: 0,index,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OpponentScore,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
0,0,0,0,4,1,4,0,45,24,10,9,1067,19,90001067,90000517,90000508,0,0,2,0,0,0,33,0,1217,2,517,0,0,385,302,0,0,0,0,0,0,1,3,2016,1,7,0,65691,13,508,0,0,0,0,0,0
1,1,1,3,4,7,12,0,108,18,7,10,1067,18,90001067,90000508,90000517,0,1,0,1,1,3,18,0,1115,5,508,0,1,763,689,0,0,0,0,0,0,1,3,2016,1,13,5,65692,12,517,0,1,0,1,1,3
2,2,8,1,6,10,32,0,91,18,9,6,1061,18,90001061,90000518,90000524,0,5,5,0,0,1,7,0,1115,1,518,0,0,618,551,0,0,0,0,0,0,1,5,2016,1,19,5,65593,18,524,0,2,0,1,3,1
3,3,9,4,6,3,13,0,161,13,6,7,1061,18,90001061,90000524,90000518,0,1,4,1,1,5,14,0,1115,1,524,0,0,376,305,0,0,1,0,0,1,1,5,2016,1,21,11,65594,18,518,0,1,0,1,1,3
4,4,10,0,3,4,13,0,46,22,13,7,1062,18,90001062,90000509,90000510,0,4,4,0,0,0,20,0,1115,0,509,0,1,454,375,0,0,0,0,0,0,1,4,2016,1,5,2,65617,10,510,0,1,0,1,3,0
5,5,11,3,2,5,23,4,155,18,5,13,1062,18,90001062,90000510,90000509,1,0,2,0,1,3,30,0,1115,0,510,0,0,688,610,0,0,0,0,0,0,1,4,2016,1,18,7,65618,14,509,0,0,0,0,0,3
6,6,12,1,7,11,23,0,77,17,9,13,1063,18,90001063,90000521,90000527,0,2,2,0,0,1,5,0,1115,2,521,0,0,454,371,0,0,0,0,0,0,1,2,2016,1,22,9,65641,6,527,0,1,0,1,2,1
7,7,13,1,1,4,19,0,104,17,12,9,1063,18,90001063,90000527,90000521,0,1,5,1,1,2,6,0,1115,6,527,0,0,401,315,0,0,0,0,0,0,1,2,2016,1,7,4,65642,27,521,0,3,0,1,1,2
8,8,14,1,7,7,21,0,96,18,5,13,1064,18,90001064,90000511,90000514,0,1,3,1,0,1,23,0,1115,0,511,0,0,502,396,0,0,0,0,0,0,1,1,2016,1,20,5,65665,21,514,0,0,0,1,1,1
9,9,15,0,10,7,15,0,95,26,13,5,1064,18,90001064,90000514,90000511,0,1,4,1,0,1,14,0,1115,9,514,0,0,593,493,0,0,1,0,0,0,1,1,2016,1,19,4,65666,23,511,0,0,0,1,1,1
