,Unnamed: 0,index,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsDraftKings,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
0,0,30,0,3,4,11,0,59,59,22,14,9,5734,13,90005734,90000515,90000973,0,3,7,0,0,0,13,0,1115,0,515,0,294,191,0,0,0,0,0,0,73,0,2017,1,10,3,524272,13,973,483,1,0,1,3,0
1,1,31,2,6,3,19,3,144,144,19,9,14,5734,14,90005734,90000973,90000515,1,0,3,0,1,3,3,0,1115,1,973,0,846,752,0,0,0,0,0,0,73,3,2017,1,28,11,524273,11,515,1035,0,0,0,0,3
2,2,32,1,5,4,24,0,84,84,18,9,11,5735,13,90005735,90000523,90000526,0,2,0,0,0,1,21,0,1115,0,523,0,352,277,0,0,0,0,0,0,73,1,2017,1,18,5,524310,15,526,554,1,0,1,2,1
3,3,33,2,4,7,45,0,125,125,21,11,9,5735,13,90005735,90000526,90000523,0,1,4,1,1,2,15,0,1115,1,526,0,664,575,0,0,0,0,0,0,73,2,2017,1,13,2,524311,14,523,890,1,0,1,1,2
4,4,34,0,7,6,37,0,87,87,10,11,16,5736,14,90005736,90000509,90000513,0,3,6,0,0,1,11,0,1115,1,509,0,471,406,0,0,1,0,0,0,73,1,2017,1,24,7,524348,6,513,666,4,0,1,3,1
5,5,35,3,5,4,9,0,131,131,12,15,11,5736,14,90005736,90000513,90000509,0,1,6,1,1,3,13,0,1029,0,513,0,497,417,1,0,0,0,0,1,73,3,2017,1,19,10,524349,14,509,701,2,0,1,1,3
6,6,36,0,2,3,10,0,44,44,15,9,18,5737,13,90005737,90000511,90000522,0,5,3,0,0,1,13,0,1115,1,511,0,286,224,0,0,0,0,0,0,73,1,2017,1,7,3,524386,13,522,460,1,0,1,3,1
7,7,37,3,9,12,31,0,174,174,24,16,9,5737,14,90005737,90000522,90000511,0,1,2,1,1,5,4,0,1115,0,522,0,724,661,0,0,0,0,0,0,73,5,2017,1,31,9,524387,12,511,909,1,0,1,1,3
8,8,38,0,3,6,25,0,57,57,25,18,11,5738,14,90005738,90000517,90000512,0,2,0,0,0,0,14,0,1115,1,517,0,405,331,0,0,0,0,0,0,73,0,2017,1,6,1,524420,14,512,596,0,0,1,2,0
9,9,39,1,4,3,9,4,102,102,13,11,19,5738,14,90005738,90000512,90000517,1,0,1,0,1,2,16,1,1115,0,512,0,607,534,0,0,0,0,0,0,73,2,2017,1,10,2,524421,20,517,815,2,0,0,0,2
10,10,40,0,4,1,12,0,73,73,21,13,11,5739,14,90005739,90000514,90000508,0,1,4,1,0,1,12,1,1115,1,514,0,494,379,0,0,0,0,0,0,73,1,2017,1,11,4,524455,18,508,704,1,0,1,1,1
11,11,41,1,7,10,29,0,95,95,12,12,13,5739,13,90005739,90000508,90000514,0,1,3,1,0,1,12,0,1115,5,508,0,466,366,0,0,0,0,0,0,73,1,2017,1,23,5,524456,16,514,699,4,0,1,1,1
12,12,42,1,5,5,23,0,87,87,16,12,15,5740,12,90005740,90000857,90000527,0,1,0,1,1,2,12,0,1115,3,857,0,555,423,0,0,0,0,0,0,73,2,2017,1,15,4,524491,9,527,738,2,0,1,1,2
13,13,43,1,1,2,18,0,59,59,18,14,13,5740,14,90005740,90000527,90000857,0,2,2,0,0,1,5,0,1115,0,527,0,444,305,0,0,0,0,0,0,73,1,2017,1,10,1,524492,9,857,621,2,0,1,2,1
14,14,44,1,5,12,23,4,124,124,14,13,11,5741,12,90005741,90000520,90000521,1,0,6,0,1,1,24,0,1115,3,520,0,353,260,0,0,0,0,0,0,73,1,2017,1,15,3,524529,18,521,564,4,0,0,0,1
