,Unnamed: 0,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsDraftKings,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OpponentScore,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
0,0,4,1,4,15,0,169,169,22,15,10,13692,14,90013692,90000655,90000650,0,1,6,1,1,5,11,0,1115,1,655,1,0,519,396,0,0,0,0,0,0,187,5,2018,1,21,7,1016757,13,650,795,1,0,1,1,3
1,1,1,1,6,39,0,94,94,13,9,16,13692,12,90013692,90000650,90000655,0,5,2,0,0,1,28,0,1115,3,650,5,0,475,346,0,0,0,0,0,0,187,1,2018,1,16,7,1016758,18,655,735,2,0,1,3,1
2,0,0,4,6,19,0,70,70,14,11,18,14460,14,90014460,90001268,90000710,0,1,3,1,0,0,14,0,1115,2,1268,1,0,529,422,0,0,0,0,0,0,223,0,2018,1,14,6,1015215,23,710,742,2,0,1,1,0
3,1,0,3,4,20,5,121,121,22,18,13,14460,14,90014460,90000710,90001268,1,0,4,0,1,1,19,0,1115,0,710,0,0,553,462,0,0,0,0,0,0,223,1,2018,1,15,4,1015216,18,1268,782,1,0,0,0,1
4,2,0,3,5,24,0,48,48,12,10,15,10541,14,90010541,90000915,90001122,0,1,2,1,0,0,13,0,1115,4,915,1,0,442,318,0,0,0,0,0,0,157,0,2018,1,11,5,1015807,6,1122,604,3,0,1,1,0
5,3,1,1,9,45,4,129,129,24,14,11,10541,14,90010541,90001122,90000915,1,0,5,0,1,1,12,0,1115,3,1122,0,0,488,364,0,0,0,0,0,0,157,1,2018,1,13,3,1015808,9,915,694,0,0,0,0,1
6,4,0,0,3,5,5,60,60,15,13,13,10537,13,90010537,90000909,90000779,1,0,1,0,0,0,21,0,1115,3,909,0,0,699,598,0,0,0,0,0,0,157,0,2018,1,6,2,1016465,10,779,881,3,0,0,0,0
7,5,0,1,5,15,5,75,75,17,13,13,10537,14,90010537,90000779,90000909,1,0,2,0,0,0,28,0,1115,2,779,0,0,420,325,0,0,0,0,0,0,157,0,2018,1,7,1,1016466,10,909,626,2,0,0,0,0
8,6,0,0,2,18,2,73,73,16,14,16,10539,14,90010539,90000917,90000916,1,0,2,0,0,0,22,0,1112,0,917,0,0,453,368,0,0,0,0,0,0,157,0,2018,1,5,3,1016510,20,916,680,1,1,0,0,0
9,7,0,2,7,27,3,85,85,22,15,14,10539,14,90010539,90000916,90000917,1,0,2,0,0,0,10,0,1115,1,916,0,0,522,412,0,0,0,0,0,0,157,0,2018,1,14,2,1016511,14,917,751,0,0,0,0,0
10,8,0,4,6,14,0,73,73,23,11,9,10540,12,90010540,90000769,90000772,0,2,4,0,0,0,21,0,1115,1,769,2,0,497,369,1,0,0,0,0,0,157,0,2018,1,19,4,1016554,16,772,723,0,0,1,2,0
11,9,0,6,4,14,4,118,118,15,7,13,10540,14,90010540,90000772,90000769,1,0,4,0,1,2,24,0,1115,1,772,0,0,541,412,0,1,1,0,0,0,157,2,2018,1,22,7,1016555,10,769,757,2,0,0,0,2
12,10,0,3,0,7,0,56,56,22,11,11,11895,14,90011895,90000524,90000525,0,2,1,0,0,0,18,0,1115,3,524,2,0,401,294,0,0,0,0,0,0,144,0,2018,1,14,5,1016592,18,525,618,0,0,1,2,0
13,11,2,4,4,22,4,134,134,19,11,12,11895,14,90011895,90000525,90000524,1,0,5,0,1,2,20,1,1115,3,525,0,0,626,539,0,0,0,0,0,0,144,2,2018,1,14,3,1016593,13,524,857,1,0,0,0,2
14,12,1,1,4,20,0,47,47,8,10,19,12868,14,90012868,90000625,90000620,0,2,1,0,0,1,10,0,1115,3,625,2,0,373,289,0,0,0,0,0,0,182,1,2018,1,10,3,1016629,4,620,574,4,0,1,2,1
15,13,1,6,6,20,0,99,99,23,16,10,12868,14,90012868,90000620,90000625,0,1,2,1,1,2,11,0,1115,0,620,1,0,648,557,0,0,0,0,0,0,182,2,2018,1,13,3,1016630,14,625,858,1,0,1,1,2
16,14,0,0,4,21,0,48,48,25,20,13,13697,14,90013697,90000652,90001053,0,3,2,0,0,0,14,0,1115,2,652,3,0,610,524,0,1,0,1,0,0,187,0,2018,1,5,4,1016675,9,1053,837,0,0,1,3,0
