,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsMondogoal,FantasyPointsYahoo,Fouled,Fouls,Games,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Name,Offsides,OpponentScore,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,PlayerId,Position,PositionCategory,RedCards,RoundId,Score,Season,SeasonType,ShortName,Shots,ShotsOnGoal,Started,StatId,TacklesWon,Team,TeamId,Touches,Updated,UpdatedUtc,YellowCards,YellowRedCards
0,1.1,12.4,13.5,3.4,0.0,147.9,147.9,,102.6,,6.8,13.5,26,90000511,0.0,0.0,0.0,0.0,0.0,6.8,2.3,0.0,881.3,Olivier Giroud,5.6,42.8,0.0,343.7,241.2,0.0,0.0,0.0,0.0,0.0,90026266,A,A,0.0,144,50.7,2018,1,O. Giroud,47.3,14.7,5,621613,7.9,Chelsea FC,511,498.1,2018-05-01T10:22:58,2018-05-01T14:22:58,0.0,0.0
1,2.3,5.6,11.3,37.2,11.3,234.7,234.7,,234.5,,19.2,21.4,27,90000509,0.0,0.0,0.0,0.0,0.0,5.6,66.5,1.1,2501.9,Nacho Monreal,2.3,40.6,0.0,1921.5,1724.3,1.1,0.0,0.0,0.0,0.0,90026267,D,D,0.0,144,63.1,2018,1,Nacho Monreal,23.7,9.0,26,621614,33.8,Arsenal FC,509,2372.3,2018-05-01T10:22:58,2018-05-01T14:22:58,3.4,0.0
2,7.9,18.0,24.8,95.8,0.0,264.6,264.6,,181.4,,11.3,18.0,35,90000515,0.0,0.0,0.0,0.0,0.0,3.4,34.9,0.0,1946.3,Alex Oxlade-Chamberlain,3.4,47.3,0.0,944.4,775.4,0.0,0.0,0.0,0.0,0.0,90026270,M,M,0.0,144,85.7,2018,1,A. Oxlade-Chamberlain,53.0,19.2,17,621615,24.8,Liverpool FC,515,1466.2,2018-05-01T10:22:58,2018-05-01T14:22:58,3.4,0.0
3,7.9,13.5,15.8,16.9,0.0,281.5,281.5,,255.4,,34.9,30.4,21,90000509,0.0,0.0,0.0,0.0,0.0,7.9,24.8,0.0,1858.4,Aaron Ramsey,0.0,31.6,0.0,1255.5,1074.0,0.0,2.3,0.0,0.0,0.0,90026271,M,M,0.0,144,48.5,2018,1,A. Ramsey,59.7,25.9,19,621616,24.8,Arsenal FC,509,1601.5,2018-05-01T10:22:58,2018-05-01T14:22:58,0.0,0.0
4,1.1,11.3,33.8,69.9,11.3,202.9,202.9,,204.8,,10.1,38.3,33,90000509,0.0,0.0,0.0,0.0,0.0,2.3,29.3,0.0,3235.6,Héctor Bellerín,4.5,51.8,0.0,1966.6,1663.5,2.3,0.0,0.0,0.0,0.0,90026272,D,D,0.0,144,71.0,2018,1,Bellerín,31.6,9.0,32,621617,49.6,Arsenal FC,509,2772.4,2018-05-01T10:22:58,2018-05-01T14:22:58,5.6,0.0
5,0.0,2.3,1.1,6.8,9.0,143.1,143.1,,198.7,,29.3,15.8,25,90000509,0.0,0.0,0.0,0.0,0.0,2.3,68.7,0.0,2509.8,Laurent Koscielny,2.3,42.8,0.0,1966.6,1749.1,0.0,0.0,0.0,0.0,0.0,90026273,D,D,0.0,144,60.9,2018,1,L. Koscielny,10.1,2.3,25,621618,27.0,Arsenal FC,509,2381.4,2018-05-01T10:22:58,2018-05-01T14:22:58,4.5,0.0
6,9.0,15.8,19.2,110.4,0.0,269.4,269.4,,249.4,,24.8,20.3,26,90000509,0.0,0.0,0.0,0.0,0.0,4.5,12.4,0.0,2438.8,Mesut Özil,13.5,45.1,0.0,2035.4,1759.2,0.0,1.1,0.0,0.0,0.0,90026274,M,M,0.0,144,63.1,2018,1,M. Özil,44.0,14.7,24,621619,14.7,Arsenal FC,509,2469.3,2018-05-01T10:22:58,2018-05-01T14:22:58,4.5,0.0
7,3.4,6.8,19.2,54.1,0.0,175.2,175.2,,96.7,,31.6,9.0,19,90000513,0.0,0.0,0.0,0.0,0.0,3.4,12.4,0.0,1337.7,Theo Walcott,12.4,47.3,0.0,355.0,264.8,0.0,0.0,0.0,0.0,0.0,90026277,A,A,0.0,144,53.0,2018,1,T. Walcott,20.3,9.0,13,621620,21.4,Everton FC,513,666.1,2018-05-01T10:22:58,2018-05-01T14:22:58,2.3,0.0
8,5.6,11.3,15.8,21.4,0.0,160.9,160.9,,179.9,,9.0,11.3,23,90000509,0.0,0.0,0.0,0.0,0.0,2.3,4.5,0.0,1799.8,Alex Iwobi,1.1,49.6,0.0,1066.1,916.3,0.0,0.0,0.0,0.0,0.0,90026278,M,M,0.0,144,73.3,2018,1,A. Iwobi,45.1,22.5,19,621621,16.9,Arsenal FC,509,1353.5,2018-05-01T10:22:58,2018-05-01T14:22:58,1.1,0.0
9,0.0,0.0,0.0,0.0,0.0,25.9,25.9,,17.8,,2.3,0.0,4,90000509,1.1,3.4,6.8,1.1,2.3,0.0,0.0,0.0,326.8,David Ospina,0.0,45.1,0.0,86.8,64.2,0.0,0.0,0.0,0.0,0.0,90026280,GK,GK,0.0,144,63.1,2018,1,D. Ospina,0.0,0.0,3,621622,0.0,Arsenal FC,509,125.1,2018-05-01T10:22:58,2018-05-01T14:22:58,0.0,0.0
