,Name,Assists,Crosses,Interceptions,RedCards,Shots,Team,Started,Position,Assists_Avg,Crosses_Avg,Interceptions_Avg,RedCards_Avg,Shots_Avg
1,Nacho Monreal,2,37,66,0,23,Arsenal FC,26,D,0.07692307692307693,1.4230769230769231,2.5384615384615383,0.0,0.8846153846153846
2,Alex Oxlade-Chamberlain,7,95,34,0,53,Liverpool FC,17,M,0.4117647058823529,5.588235294117647,2.0,0.0,3.1176470588235294
3,Aaron Ramsey,7,16,24,0,59,Arsenal FC,19,M,0.3684210526315789,0.8421052631578947,1.263157894736842,0.0,3.1052631578947367
4,Héctor Bellerín,1,69,29,0,31,Arsenal FC,32,D,0.03125,2.15625,0.90625,0.0,0.96875
5,Laurent Koscielny,0,6,68,0,10,Arsenal FC,25,D,0.0,0.24,2.72,0.0,0.4
6,Mesut Özil,9,110,12,0,44,Arsenal FC,24,M,0.375,4.583333333333333,0.5,0.0,1.8333333333333333
7,Theo Walcott,3,54,12,0,20,Everton FC,13,A,0.23076923076923078,4.153846153846154,0.9230769230769231,0.0,1.5384615384615385
8,Alex Iwobi,5,21,4,0,45,Arsenal FC,19,M,0.2631578947368421,1.105263157894737,0.21052631578947367,0.0,2.3684210526315788
10,Danny Welbeck,2,1,12,0,33,Arsenal FC,11,A,0.18181818181818182,0.09090909090909091,1.0909090909090908,0.0,3.0
12,Petr Čech,0,0,0,0,0,Arsenal FC,32,GK,0.0,0.0,0.0,0.0,0.0
13,Mohamed El Neny,1,10,12,1,9,Arsenal FC,11,M,0.09090909090909091,0.9090909090909091,1.0909090909090908,0.09090909090909091,0.8181818181818182
14,Riyad Mahrez,9,157,22,0,75,Leicester City FC,31,M,0.2903225806451613,5.064516129032258,0.7096774193548387,0.0,2.4193548387096775
15,Andy King,0,10,9,0,10,Swansea City AFC,12,M,0.0,0.8333333333333334,0.75,0.0,0.8333333333333334
16,Jamie Vardy,1,44,6,0,71,Leicester City FC,34,A,0.029411764705882353,1.2941176470588236,0.17647058823529413,0.0,2.088235294117647
17,Kasper Schmeichel,0,0,0,0,0,Leicester City FC,33,GK,0.0,0.0,0.0,0.0,0.0
18,Matty James,0,2,21,0,12,Leicester City FC,11,M,0.0,0.18181818181818182,1.9090909090909092,0.0,1.0909090909090908
19,Wes Morgan,0,0,29,0,13,Leicester City FC,29,D,0.0,0.0,1.0,0.0,0.4482758620689655
20,Marc Albrighton,7,240,39,1,22,Leicester City FC,30,M,0.23333333333333334,8.0,1.3,0.03333333333333333,0.7333333333333333
21,Danny Simpson,0,25,33,0,3,Leicester City FC,25,D,0.0,1.0,1.32,0.0,0.12
22,Shinji Okazaki,4,7,9,0,31,Leicester City FC,17,A,0.23529411764705882,0.4117647058823529,0.5294117647058824,0.0,1.8235294117647058
